Day,Month,Year,Temperature,Precipitation,Special Occasion,Qty
1,1,1950,22.532298055149106,7.5869852843384304,2,55.59782158156128
2,1,1950,30.33452177120133,0.0,2,42.13751704633565
3,1,1950,27.75060573234088,13.060420214475073,2,53.59468142671116
4,1,1950,26.905097182333098,12.149787813743341,1,52.05483760210169
5,1,1950,18.816864719249104,2.2802020824277207,1,71.29781266565155
6,1,1950,21.024233692525815,16.841104684383897,1,67.07847525405894
7,1,1950,22.649744208636218,35.3292279703858,1,70.47516773981609
8,1,1950,19.81369185409797,0.0,2,54.73215084748651
9,1,1950,24.495846182370894,0.0,1,53.40951293603067
10,1,1950,23.499206259307094,0.8894526176287236,1,60.68522106838418
11,1,1950,18.710383138710288,3.883799552033823,1,66.01768592275619
12,1,1950,19.9734538651731,22.78493988118319,2,49.74327331255445
13,1,1950,22.283970988760075,15.948124297129485,1,65.40511557263916
14,1,1950,31.69280823260876,21.15094873594663,1,44.257496551794034
15,1,1950,24.221262540663254,4.962108366576795,2,55.799766417993794
16,1,1950,23.963288519762646,0.0,1,49.584694297281764
17,1,1950,25.944911928023345,0.0,1,35.93425949044098
18,1,1950,13.58364628576494,10.744128422601735,1,75.59631494572353
19,1,1950,37.36258890179506,17.80923179931056,1,37.91956487956302
20,1,1950,19.711821572729935,0.0,1,56.25654847415539
21,1,1950,20.77265851405289,1.1016773837386555,2,52.464408705085816
22,1,1950,27.509880769397995,0.0,1,36.232393570529815
23,1,1950,29.9505516826137,1.2739001204182063,1,41.613012195509896
24,1,1950,24.05819933043476,1.3214621481048034,1,50.50670492587376
25,1,1950,16.160096017334475,37.89759139319661,1,89.22992966732315
26,1,1950,16.729278940438746,19.48367864184916,1,75.37885321771847
27,1,1950,26.464821867016916,2.663620454051701,1,42.809145642697416
28,1,1950,13.997885917896937,14.406743517197492,2,41.5272190592174
29,1,1950,22.78397244234735,3.8040276158742623,1,55.319870680014205
30,1,1950,22.669279605930875,10.45802998915703,1,60.539141466370886
31,1,1950,21.066025382701422,27.765853449973534,2,47.91839748994203
1,2,1950,22.253831146420886,0.0,2,59.69385994998501
2,2,1950,21.918720932477942,17.03776627971384,1,62.229712063169096
3,2,1950,31.09303131704266,25.572820275815893,2,56.15102007513015
4,2,1950,28.75269379574408,2.563111513855122,1,47.076962784128526
5,2,1950,22.05408517413177,0.0,2,40.22831270099675
6,2,1950,25.18955985144276,14.98349741648788,1,53.818722687266465
7,2,1950,22.60297027557496,13.428418309380636,1,59.13828539687329
8,2,1950,24.969455003246093,7.1925701749077575,1,55.512422577726305
9,2,1950,23.156212307538905,25.93688164264108,1,70.37310773227969
10,2,1950,31.980483272838274,21.49753926295153,2,50.79746105568426
11,2,1950,17.442702810359474,19.710154673390647,2,26.04999264808174
12,2,1950,22.56149824599055,0.0,1,54.965957504319604
13,2,1950,24.818265174771657,25.501376878306715,2,68.72854006670713
14,2,1950,19.912304201266977,2.1925478726615344,2,51.2540159644857
15,2,1950,25.547909412691926,2.302506625804668,2,71.08274393098057
16,2,1950,32.03481528287544,0.0,1,27.564468776956886
17,2,1950,19.703546342778502,12.85369417977418,2,71.47873688258022
18,2,1950,21.010882233751772,0.0,1,59.4108777765257
19,2,1950,26.561247705508265,12.19715264771964,2,40.739362971909735
20,2,1950,25.47622138460727,5.696645498802994,1,52.57503029964534
21,2,1950,19.7360613284835,31.67989541226841,1,75.69816192808827
22,2,1950,29.73980897713172,10.94682015232048,2,35.57215393908952
23,2,1950,21.091459839896483,4.128802252249269,1,55.757389626439554
